,time,open,high,low,close,tick_volume,spread,real_volume,time_num
0,2024-01-02,140.83,142.216,140.807,141.97,237476,0,0,0.0
1,2024-01-03,141.829,143.731,141.771,143.288,275087,3,0,24.0
2,2024-01-04,143.289,144.852,142.85,144.622,267701,3,0,48.0
3,2024-01-05,144.518,145.979,143.806,144.558,354170,2,0,72.0
4,2024-01-08,144.441,144.918,143.662,144.22,229689,1,0,144.0
5,2024-01-09,144.195,144.62,143.417,144.464,252199,0,0,168.0
6,2024-01-10,144.44,145.83,144.316,145.749,210003,1,0,192.0
7,2024-01-11,145.736,146.417,144.953,145.274,344680,3,0,216.0
8,2024-01-12,145.256,145.568,144.349,144.906,303780,1,0,240.0
9,2024-01-15,144.849,145.942,144.749,145.708,163386,0,0,312.0
10,2024-01-16,145.709,147.311,145.582,147.182,313385,1,0,336.0
11,2024-01-17,147.182,148.528,147.042,148.154,301866,0,0,360.0
12,2024-01-18,148.141,148.302,147.654,148.154,272255,1,0,384.0
13,2024-01-19,148.154,148.804,147.835,148.112,266831,3,0,408.0
14,2024-01-22,148.212,148.304,147.616,148.092,230170,3,0,480.0
15,2024-01-23,148.093,148.693,146.977,148.321,334622,3,0,504.0
16,2024-01-24,148.319,148.396,146.646,147.497,305222,2,0,528.0
17,2024-01-25,147.489,147.949,147.083,147.652,288074,3,0,552.0
18,2024-01-26,147.634,148.204,147.422,148.15,248643,3,0,576.0
19,2024-01-29,148.063,148.332,147.246,147.487,190842,3,0,648.0
20,2024-01-30,147.496,147.928,147.086,147.594,222968,2,0,672.0
21,2024-01-31,147.592,147.901,146.005,146.894,440600,0,0,696.0
22,2024-02-01,146.89,147.114,145.895,146.412,355362,0,0,720.0
23,2024-02-02,146.421,148.586,146.198,148.341,284890,0,0,744.0
24,2024-02-05,148.408,148.895,148.264,148.669,232604,3,0,816.0
25,2024-02-06,148.669,148.788,147.815,147.933,150961,3,0,840.0
26,2024-02-07,147.935,148.258,147.617,148.177,112156,3,0,864.0
27,2024-02-08,148.173,149.479,147.928,149.308,119391,3,0,888.0
28,2024-02-09,149.309,149.576,149.008,149.251,103861,3,0,912.0
29,2024-02-12,149.21,149.478,148.926,149.332,92689,4,0,984.0
30,2024-02-13,149.334,150.881,149.193,150.818,111920,3,0,1008.0
31,2024-02-14,150.798,150.806,150.34,150.547,106893,4,0,1032.0
32,2024-02-15,150.544,150.573,149.531,149.899,116060,1,0,1056.0
33,2024-02-16,149.894,150.646,149.823,150.176,105254,4,0,1080.0
34,2024-02-19,150.08,150.19,149.871,150.109,62836,2,0,1152.0
35,2024-02-20,150.108,150.436,149.681,149.996,104393,4,0,1176.0
36,2024-02-21,149.994,150.39,149.849,150.289,96719,4,0,1200.0
37,2024-02-22,150.302,150.686,150.015,150.52,113102,4,0,1224.0
38,2024-02-23,150.524,150.768,150.292,150.504,89984,1,0,1248.0
39,2024-02-26,150.493,150.835,150.239,150.676,96939,4,0,1320.0
40,2024-02-27,150.683,150.704,150.074,150.486,89318,4,0,1344.0
41,2024-02-28,150.502,150.843,150.369,150.679,91892,4,0,1368.0
42,2024-02-29,150.684,150.692,149.205,149.955,128047,4,0,1392.0
43,2024-03-01,149.968,150.721,149.903,150.062,112792,4,0,1416.0
44,2024-03-04,149.985,150.568,149.836,150.502,94471,4,0,1488.0
45,2024-03-05,150.523,150.541,149.702,150.049,105221,3,0,1512.0
46,2024-03-06,150.046,150.081,149.09,149.366,114071,1,0,1536.0
47,2024-03-07,149.367,149.387,147.578,148.022,144723,4,0,1560.0
48,2024-03-08,148.04,148.114,146.48,147.05,137922,4,0,1584.0
49,2024-03-11,147.03,147.147,146.483,146.953,105877,4,0,1656.0
50,2024-03-12,146.952,148.175,146.615,147.607,89535,0,0,1680.0
51,2024-03-13,147.623,148.043,147.232,147.623,65889,0,0,1704.0
52,2024-03-14,147.622,148.356,147.437,148.281,65531,0,0,1728.0
53,2024-03-15,148.281,149.163,148.031,149.005,57737,0,0,1752.0
54,2024-03-18,149.05,149.329,148.906,149.1,51403,0,0,1824.0
55,2024-03-19,149.094,150.962,149.0,150.77,68873,0,0,1848.0
56,2024-03-20,150.769,151.817,150.715,151.191,62232,0,0,1872.0
57,2024-03-21,151.19,151.753,150.261,151.583,70354,0,0,1896.0
58,2024-03-22,151.585,151.86,151.001,151.415,63267,0,0,1920.0
59,2024-03-25,151.425,151.542,151.051,151.399,48813,0,0,1992.0
60,2024-03-26,151.398,151.603,151.207,151.508,44375,0,0,2016.0
61,2024-03-27,151.508,151.968,151.025,151.256,56573,0,0,2040.0
62,2024-03-28,151.254,151.542,151.148,151.371,49019,0,0,2064.0
63,2024-03-29,151.369,151.497,151.173,151.321,20095,3,0,2088.0
64,2024-04-01,151.31,151.77,151.218,151.637,39286,0,0,2160.0
65,2024-04-02,151.642,151.802,151.462,151.549,43138,0,0,2184.0
66,2024-04-03,151.531,151.954,151.439,151.684,42375,0,0,2208.0
67,2024-04-04,151.67,151.77,151.119,151.332,42017,0,0,2232.0
68,2024-04-05,151.336,151.75,150.81,151.617,56675,0,0,2256.0
69,2024-04-08,151.64,151.942,151.543,151.81,39040,0,0,2328.0
70,2024-04-09,151.817,151.935,151.568,151.765,38792,0,0,2352.0
71,2024-04-10,151.759,153.235,151.65,153.143,51824,0,0,2376.0
72,2024-04-11,153.153,153.317,152.757,153.249,56791,0,0,2400.0
73,2024-04-12,153.268,153.383,152.592,153.262,57667,0,0,2424.0
74,2024-04-15,153.05,154.442,152.951,154.264,62774,0,0,2496.0
75,2024-04-16,154.268,154.784,153.893,154.69,61384,0,0,2520.0
76,2024-04-17,154.695,154.732,154.155,154.372,50270,0,0,2544.0
77,2024-04-18,154.374,154.676,153.957,154.632,55586,0,0,2568.0
