,time,open,high,low,close,tick_volume,spread,real_volume,time_num
0,2024-01-02,2062.91,2078.99,2055.82,2058.91,376799,4,0,0.0
1,2024-01-03,2059.16,2066.05,2030.49,2041.27,441916,4,0,24.0
2,2024-01-04,2041.88,2051.04,2036.1,2043.28,324187,0,0,48.0
3,2024-01-05,2043.81,2064.07,2024.34,2045.3,479354,4,0,72.0
4,2024-01-08,2044.65,2046.55,2016.61,2028.18,386826,4,0,144.0
5,2024-01-09,2028.22,2042.09,2025.95,2030.21,376781,4,0,168.0
6,2024-01-10,2030.36,2040.37,2020.31,2024.32,399693,4,0,192.0
7,2024-01-11,2024.06,2045.8,2013.16,2028.54,538544,4,0,216.0
8,2024-01-12,2029.2,2062.33,2028.73,2048.81,562683,4,0,240.0
9,2024-01-15,2047.9,2058.66,2045.68,2054.6,248084,0,0,312.0
10,2024-01-16,2054.62,2055.59,2024.19,2028.22,459103,3,0,336.0
11,2024-01-17,2028.29,2033.0,2001.68,2006.11,557364,0,0,360.0
12,2024-01-18,2005.62,2023.31,2005.62,2022.93,430350,2,0,384.0
13,2024-01-19,2024.39,2039.5,2020.26,2029.33,410962,1,0,408.0
14,2024-01-22,2029.7,2032.19,2016.42,2021.62,423889,5,0,480.0
15,2024-01-23,2021.96,2037.98,2019.51,2029.23,436043,5,0,504.0
16,2024-01-24,2029.02,2036.78,2011.06,2013.5,543248,5,0,528.0
17,2024-01-25,2014.3,2025.44,2009.47,2020.7,443626,0,0,552.0
18,2024-01-26,2020.26,2026.75,2015.81,2018.49,353072,5,0,576.0
19,2024-01-29,2024.05,2037.46,2019.18,2032.7,288679,5,0,648.0
20,2024-01-30,2032.92,2048.64,2028.96,2036.87,412991,5,0,672.0
21,2024-01-31,2036.95,2056.07,2030.79,2039.2,567869,5,0,696.0
22,2024-02-01,2038.97,2065.54,2029.93,2054.98,592314,3,0,720.0
23,2024-02-02,2054.88,2057.73,2027.73,2039.57,383044,5,0,744.0
24,2024-02-05,2040.01,2042.29,2014.76,2025.03,398004,5,0,816.0
25,2024-02-06,2024.76,2038.96,2022.77,2035.86,191974,3,0,840.0
26,2024-02-07,2036.04,2044.64,2030.5,2035.0,142344,5,0,864.0
27,2024-02-08,2035.64,2038.7,2020.08,2034.33,151572,5,0,888.0
28,2024-02-09,2034.61,2037.28,2020.2,2024.26,138125,5,0,912.0
29,2024-02-12,2024.15,2027.59,2011.75,2019.94,139488,5,0,984.0
30,2024-02-13,2019.73,2031.91,1989.97,1992.95,153478,5,0,1008.0
31,2024-02-14,1993.44,1996.12,1984.03,1992.1,145815,5,0,1032.0
32,2024-02-15,1992.32,2008.38,1990.09,2004.25,138635,5,0,1056.0
33,2024-02-16,2004.12,2015.24,1995.19,2013.18,134157,5,0,1080.0
34,2024-02-19,2014.69,2023.04,2011.38,2017.91,99685,5,0,1152.0
35,2024-02-20,2018.09,2030.94,2014.87,2024.23,130870,5,0,1176.0
36,2024-02-21,2024.11,2032.27,2020.05,2025.97,141138,5,0,1200.0
37,2024-02-22,2025.61,2034.86,2019.48,2024.27,148953,4,0,1224.0
38,2024-02-23,2024.37,2041.39,2015.92,2035.52,150943,5,0,1248.0
39,2024-02-26,2034.32,2037.1,2024.94,2031.16,136963,5,0,1320.0
40,2024-02-27,2031.45,2039.51,2028.63,2030.38,130317,5,0,1344.0
41,2024-02-28,2030.71,2037.94,2024.38,2034.37,129908,5,0,1368.0
42,2024-02-29,2034.37,2050.78,2027.97,2044.12,146206,3,0,1392.0
43,2024-03-01,2043.77,2088.38,2038.92,2083.26,164147,5,0,1416.0
44,2024-03-04,2082.51,2119.94,2079.37,2114.27,144180,5,0,1488.0
45,2024-03-05,2114.59,2141.81,2110.43,2127.84,173988,5,0,1512.0
46,2024-03-06,2128.0,2152.27,2123.59,2148.03,158499,5,0,1536.0
47,2024-03-07,2148.94,2164.76,2144.2,2159.93,165049,0,0,1560.0
48,2024-03-08,2159.28,2195.22,2153.96,2178.55,174781,5,0,1584.0
49,2024-03-11,2181.21,2189.03,2174.72,2182.65,146453,5,0,1656.0
50,2024-03-12,2182.17,2184.76,2150.5,2158.13,94467,5,0,1680.0
51,2024-03-13,2158.0,2179.85,2155.72,2174.32,62440,5,0,1704.0
52,2024-03-14,2174.54,2176.97,2152.75,2162.19,62755,5,0,1728.0
53,2024-03-15,2162.32,2172.71,2155.17,2155.82,59222,5,0,1752.0
54,2024-03-18,2153.03,2163.58,2146.08,2160.26,54955,5,0,1824.0
55,2024-03-19,2160.11,2162.77,2147.14,2157.48,59875,5,0,1848.0
56,2024-03-20,2157.7,2188.77,2149.61,2186.24,64224,5,0,1872.0
57,2024-03-21,2187.18,2222.65,2166.43,2181.25,91384,5,0,1896.0
58,2024-03-22,2181.51,2186.03,2157.09,2165.27,79823,5,0,1920.0
59,2024-03-25,2165.9,2181.26,2163.5,2171.73,71161,5,0,1992.0
60,2024-03-26,2171.6,2200.03,2167.57,2178.63,64112,5,0,2016.0
61,2024-03-27,2178.08,2197.55,2172.87,2194.88,64882,1,0,2040.0
62,2024-03-28,2193.4,2236.18,2187.27,2232.88,80479,0,0,2064.0
63,2024-04-01,2241.94,2265.61,2228.51,2251.31,85503,5,0,2160.0
64,2024-04-02,2251.24,2281.01,2246.67,2280.53,88872,5,0,2184.0
65,2024-04-03,2279.92,2301.14,2265.42,2299.64,95443,5,0,2208.0
66,2024-04-04,2299.56,2305.56,2279.95,2290.95,84664,5,0,2232.0
67,2024-04-05,2291.03,2330.44,2267.75,2329.28,91616,2,0,2256.0
68,2024-04-08,2324.16,2353.84,2302.9,2338.82,109825,5,0,2328.0
69,2024-04-09,2338.74,2365.28,2336.97,2352.22,104663,5,0,2352.0
70,2024-04-10,2352.62,2360.03,2319.43,2333.55,101113,0,0,2376.0
71,2024-04-11,2334.0,2377.64,2325.85,2372.41,102815,5,0,2400.0
72,2024-04-12,2371.47,2431.44,2333.86,2344.22,128042,4,0,2424.0
73,2024-04-15,2355.6,2387.51,2323.98,2383.1,115908,5,0,2496.0
74,2024-04-16,2382.38,2398.18,2362.99,2382.85,114793,5,0,2520.0
75,2024-04-17,2382.53,2395.53,2354.54,2361.16,104392,5,0,2544.0
76,2024-04-18,2361.37,2392.76,2361.37,2378.86,118369,0,0,2568.0
77,2024-04-19,2379.14,2417.83,2372.91,2390.63,146435,5,0,2592.0
78,2024-04-22,2389.8,2389.8,2324.47,2327.25,81603,5,0,2664.0
79,2024-04-23,2327.71,2334.34,2291.39,2322.11,79380,5,0,2688.0
80,2024-04-24,2322.44,2337.19,2311.78,2315.96,71554,3,0,2712.0
81,2024-04-25,2315.96,2344.8,2304.8,2332.37,70251,3,0,2736.0
82,2024-04-26,2332.35,2352.5,2326.17,2337.78,65473,5,0,2760.0
83,2024-04-29,2337.22,2346.63,2320.04,2335.36,70726,5,0,2832.0
84,2024-04-30,2335.31,2336.23,2285.04,2286.3,72307,5,0,2856.0
85,2024-05-01,2286.76,2328.2,2281.63,2319.48,70204,5,0,2880.0
86,2024-05-02,2321.02,2326.43,2285.5,2303.51,69461,5,0,2904.0
87,2024-05-03,2303.93,2320.59,2277.38,2301.67,67506,5,0,2928.0
88,2024-05-06,2304.58,2331.99,2291.79,2323.76,74940,5,0,3000.0
89,2024-05-07,2324.06,2329.88,2310.01,2313.83,65539,5,0,3024.0
90,2024-05-08,2314.22,2321.32,2303.72,2308.83,69498,5,0,3048.0
91,2024-05-09,2308.69,2347.17,2306.73,2346.02,68792,5,0,3072.0
92,2024-05-10,2346.33,2378.32,2345.04,2360.47,73168,5,0,3096.0
93,2024-05-13,2361.9,2364.42,2332.11,2336.14,67281,5,0,3168.0
94,2024-05-14,2336.13,2359.61,2334.84,2358.0,68341,5,0,3192.0
95,2024-05-15,2358.02,2390.23,2351.84,2385.76,70090,5,0,3216.0
96,2024-05-16,2385.6,2397.25,2371.02,2376.72,81190,5,0,3240.0
97,2024-05-17,2377.11,2422.74,2374.05,2413.84,80348,5,0,3264.0
98,2024-05-20,2418.33,2450.07,2407.4,2426.22,102705,5,0,3336.0
99,2024-05-21,2426.3,2433.83,2406.43,2420.88,93414,5,0,3360.0
100,2024-05-22,2421.44,2426.59,2375.06,2378.58,94728,5,0,3384.0
101,2024-05-23,2379.66,2383.66,2326.68,2328.55,92448,5,0,3408.0
102,2024-05-24,2328.95,2347.37,2325.46,2333.86,79071,5,0,3432.0
103,2024-05-27,2338.09,2358.52,2331.68,2350.08,60652,5,0,3504.0
104,2024-05-28,2351.47,2364.14,2340.32,2361.13,84124,5,0,3528.0
105,2024-05-29,2360.95,2362.66,2334.61,2338.0,86223,1,0,3552.0
106,2024-05-30,2337.88,2351.77,2322.74,2342.98,90714,5,0,3576.0
107,2024-05-31,2344.26,2359.8,2320.6,2327.46,91884,5,0,3600.0
108,2024-06-03,2328.79,2354.76,2314.77,2350.45,88083,5,0,3672.0
109,2024-06-04,2351.9,2352.83,2315.62,2326.79,87040,5,0,3696.0
110,2024-06-05,2326.69,2357.41,2325.92,2355.13,80955,5,0,3720.0
111,2024-06-06,2356.8,2378.5,2353.44,2375.68,81010,5,0,3744.0
112,2024-06-07,2376.34,2387.69,2286.71,2293.38,99238,5,0,3768.0
113,2024-06-10,2294.71,2313.84,2287.78,2310.86,75938,5,0,3840.0
114,2024-06-11,2312.03,2319.94,2297.75,2316.73,86222,5,0,3864.0
115,2024-06-12,2317.07,2341.66,2310.75,2324.88,84926,5,0,3888.0
116,2024-06-13,2324.83,2326.67,2295.67,2303.85,82589,5,0,3912.0
117,2024-06-14,2304.18,2336.59,2301.62,2332.6,82624,5,0,3936.0
118,2024-06-17,2331.47,2332.87,2310.03,2318.96,78647,5,0,4008.0
119,2024-06-18,2319.05,2333.11,2306.64,2329.34,76408,5,0,4032.0
120,2024-06-19,2329.3,2335.06,2323.92,2327.98,53316,5,0,4056.0
121,2024-06-20,2329.07,2365.46,2327.81,2360.02,77250,5,0,4080.0
122,2024-06-21,2360.71,2368.73,2316.7,2321.42,81924,5,0,4104.0
123,2024-06-24,2321.36,2334.68,2317.73,2334.43,81632,5,0,4176.0
124,2024-06-25,2334.29,2337.13,2315.54,2319.51,72400,5,0,4200.0
125,2024-06-26,2319.35,2323.72,2293.67,2298.06,81657,5,0,4224.0
126,2024-06-27,2298.36,2330.91,2296.54,2327.48,74385,5,0,4248.0
127,2024-06-28,2328.03,2339.75,2319.06,2326.4,74181,5,0,4272.0
128,2024-07-01,2326.9,2338.53,2318.5,2331.72,76003,5,0,4344.0
